id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,83419.0,1653964836688,1,1653968172042,51418605600,83458.0,78895.0,4498.5,5.70008,95886938604.0,6.15418,19835556.0,19835596.0,21000000.0,108786.0,-23.46299,2025-01-20T09:11:54.494Z,67.81,122687.82546,2013-07-06T00:00:00.000Z,0.0,2025-03-12T01:45:27.315Z,0.0,0.0,0.0
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1923.12,231968804329,2,231973732643,28852520410,1958.82,1840.88,82.24,4.46752,6221470175.0,2.75594,120606878.7886636,120609441.1527882,,4878.26,-60.63272,2021-11-10T14:24:19.604Z,0.432979,443440.94561,2015-10-20T00:00:00.000Z,0.0,2025-03-12T01:45:29.527Z,29.83487102934793,0.0,2983.487102934793
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999649,143131246783,3,143131246783,44856055845,0.99983,0.999389,0.0002449,0.0245,282565217.0,0.19781,143182152538.009,143182152538.009,,1.32,-24.44701,2018-07-24T00:00:00.000Z,0.572521,74.60286,2015-03-02T00:00:00.000Z,0.0,2025-03-12T01:45:13.846Z,0.0,0.0,0.0
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.21,128558954531,4,221457825493,5841149808,2.21,2.01,0.2061,10.26307,11419814493.0,9.74893,58043299826.0,99986368206.0,100000000000.0,3.4,-34.94136,2018-01-07T00:00:00.000Z,0.00268621,82208.82656,2014-05-22T00:00:00.000Z,0.0,2025-03-12T01:45:26.006Z,0.0,0.0,0.0
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,554.96,80954196357,5,80954196357,1692949807,564.39,527.7,27.25,5.16442,3475590089.0,4.48587,145887575.79,145887575.79,200000000.0,788.84,-29.78346,2024-12-04T10:35:25.220Z,0.0398177,1390986.63774,2017-10-19T00:00:00.000Z,0.0,2025-03-12T01:45:26.831Z,0.0,0.0,0.0
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,126.05,64204646725,6,75126751948,5225250208,128.13,117.85,7.88,6.6724,3928004891.0,6.51663,509385901.6957651,596039542.8459522,,293.31,-57.03868,2025-01-19T11:15:27.957Z,0.500801,25061.81688,2020-05-11T19:35:23.449Z,0.0,2025-03-12T01:45:27.415Z,0.0,0.0,0.0
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999798,58048468644,7,58050520490,7734815525,0.999939,0.999792,-2.9990858636753e-05,-0.003,186737792.0,0.32273,58060178265.80794,58062230526.09732,,1.17,-14.74434,2019-05-08T00:40:28.300Z,0.877647,13.9181,2023-03-11T08:02:13.981Z,0.0,2025-03-12T01:45:18.457Z,0.0,0.0,0.0
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.739866,26615085303,8,33308350298,1592877270,0.743774,0.68634,0.053527,7.79884,2453722119.0,10.15556,35957314844.72886,45000000000.0,45000000000.0,3.09,-76.05406,2021-09-02T06:00:10.474Z,0.01925275,3739.40021,2020-03-13T02:22:55.044Z,0.0,2025-03-12T01:45:30.072Z,0.0,0.0,0.0
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.166068,24645179687,9,24650176469,2006406107,0.16817,0.151252,0.01481617,9.7957,1738075323.0,7.58749,148360876383.7051,148390956383.7052,,0.731578,-77.35324,2021-05-08T05:08:23.458Z,8.69e-05,190546.22269,2015-05-06T00:00:00.000Z,0.0,2025-03-12T01:45:26.996Z,0.0,0.0,0.0
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.225728,21350042472,10,21350054550,1011522035,0.232149,0.222626,-0.002858113929936096,-1.25034,-389206436.1918831,-1.79034,95035822392.85692,95035959580.55412,,0.431288,-47.71287,2024-12-04T00:10:40.323Z,0.00180434,12398.09408,2017-11-12T00:00:00.000Z,0.0,2025-03-12T01:45:23.274Z,117.80443373098842,0.0,11780.443373098842
